Name,Size / Usage,Context,Input,Digest,Updated,source,size_gb,is_installed
granite4:350m-h-base-q5_K_S,249MB,1M,Text,145747056d3e,10 months ago,ibm\granite4.csv,0.2431640625,False
granite-embedding:125m-english-f16,251MB,512,Text,da69d7b4a7fe,1 year ago,ibm\granite-embedding.csv,0.2451171875,False
granite-embedding:125m,251MB,512,Text,da69d7b4a7fe,1 year ago,ibm\granite-embedding.csv,0.2451171875,False
granite4:350m-h-base-q5_K_M,252MB,1M,Text,78ee04b78898,10 months ago,ibm\granite4.csv,0.24609375,False
granite4:350m-h-q5_K_M,252MB,1M,Text,5b6eaf05f3b1,10 months ago,ibm\granite4.csv,0.24609375,False
granite4:350m-base-q5_K_S,260MB,32K,Text,16c442bbb92b,10 months ago,ibm\granite4.csv,0.25390625,False
granite4:350m-q5_0,260MB,32K,Text,a5348aa46c6d,10 months ago,ibm\granite4.csv,0.25390625,False
granite4:350m-q5_K_S,260MB,32K,Text,cb191bbc0b2c,10 months ago,ibm\granite4.csv,0.25390625,False
granite4:350m-base-q5_0,260MB,32K,Text,2e297eed9623,10 months ago,ibm\granite4.csv,0.25390625,False
granite4:350m-q5_K_M,264MB,32K,Text,e342e0b9940f,10 months ago,ibm\granite4.csv,0.2578125,False
granite4:350m-base-q5_K_M,264MB,32K,Text,aa94f2db6668,10 months ago,ibm\granite4.csv,0.2578125,False
granite4:350m-h-base-q5_1,265MB,1M,Text,8ca7d5740458,10 months ago,ibm\granite4.csv,0.2587890625,False
granite4:350m-h-q5_1,265MB,1M,Text,2f4731153821,10 months ago,ibm\granite4.csv,0.2587890625,False
granite4:350m-base-q5_1,275MB,32K,Text,548757aaefbe,10 months ago,ibm\granite4.csv,0.2685546875,False
granite4:350m-q5_1,275MB,32K,Text,3df269de717b,10 months ago,ibm\granite4.csv,0.2685546875,False
granite4:350m-h-q6_K,284MB,1M,Text,52b034b7886b,10 months ago,ibm\granite4.csv,0.27734375,False
granite4:350m-h-base-q6_K,284MB,1M,Text,7923e6cdd952,10 months ago,ibm\granite4.csv,0.27734375,False
gemma3:270m-it-q8_0,292MB,32K,Text,e7d36fb2c3b3,1 year ago,gemma\gemma3.csv,0.28515625,False
gemma3:270m,292MB,32K,Text,e7d36fb2c3b3,1 year ago,gemma\gemma3.csv,0.28515625,False
granite4:350m-q6_K,293MB,32K,Text,ce994e52918f,10 months ago,ibm\granite4.csv,0.2861328125,False
granite4:350m-base-q6_K,293MB,32K,Text,c6e2f1a19d96,10 months ago,ibm\granite4.csv,0.2861328125,False
qwen:0.5b-chat-v1.5-q2_K,298MB,32K,Text,a16189bc79c0,2 years ago,qwen\qwen.csv,0.291015625,False
qwen:0.5b-text-v1.5-q2_K,298MB,32K,Text,6be7d85c1f37,2 years ago,qwen\qwen.csv,0.291015625,False
functiongemma:latest,301MB,32K,Text,7c19b650567a,8 months ago,gemma\functiongemma.csv,0.2939453125,False
functiongemma:270m-it-q8_0,301MB,32K,Text,7c19b650567a,8 months ago,gemma\functiongemma.csv,0.2939453125,False
functiongemma:270m,301MB,32K,Text,7c19b650567a,8 months ago,gemma\functiongemma.csv,0.2939453125,False
granite-embedding:278m-multilingual-q8_0,303MB,512,Text,c85c901b9611,1 year ago,ibm\granite-embedding.csv,0.2958984375,False
qwen:0.5b-chat-v1.5-q3_K_S,333MB,32K,Text,0bcee5f34ad7,2 years ago,qwen\qwen.csv,0.3251953125,False
qwen:0.5b-text-v1.5-q3_K_S,333MB,32K,Text,37eeb0d10fd8,2 years ago,qwen\qwen.csv,0.3251953125,False
qwen2.5:0.5b-instruct-q3_K_S,338MB,32K,Text,2b61ae1bb74f,1 year ago,qwen\qwen2.5.csv,0.330078125,False
embeddinggemma:300m-qat-q8_0,338MB,2K,Text,e84a7acc2394,12 months ago,gemma\embeddinggemma.csv,0.330078125,False
qwen2.5:0.5b-base-q3_K_S,338MB,32K,Text,cf1fe7a28bac,1 year ago,qwen\qwen2.5.csv,0.330078125,False
qwen2.5:0.5b-instruct-q2_K,339MB,32K,Text,fa66a85e7fe2,1 year ago,qwen\qwen2.5.csv,0.3310546875,False
qwen2.5:0.5b-base-q2_K,339MB,32K,Text,b439066a7c50,1 year ago,qwen\qwen2.5.csv,0.3310546875,False
qwen:0.5b-chat-v1.5-q3_K_M,350MB,32K,Text,b18e5c255a90,2 years ago,qwen\qwen.csv,0.341796875,False
qwen:0.5b-text-v1.5-q3_K_M,350MB,32K,Text,7b641307e2fe,2 years ago,qwen\qwen.csv,0.341796875,False
qwen2.5:0.5b-base-q4_0,352MB,32K,Text,a990247b9c63,1 year ago,qwen\qwen2.5.csv,0.34375,False
qwen2.5:0.5b-instruct-q4_0,352MB,32K,Text,44deb286b008,1 year ago,qwen\qwen2.5.csv,0.34375,False
qwen2.5:0.5b-base-q3_K_M,355MB,32K,Text,2b0f4078dcc1,1 year ago,qwen\qwen2.5.csv,0.3466796875,False
qwen2.5:0.5b-instruct-q3_K_M,355MB,32K,Text,a1b962ae1ffb,1 year ago,qwen\qwen2.5.csv,0.3466796875,False
qwen:0.5b-text-v1.5-q3_K_L,364MB,32K,Text,49837f2c5b03,2 years ago,qwen\qwen.csv,0.35546875,False
qwen:0.5b-chat-v1.5-q3_K_L,364MB,32K,Text,d184d2901228,2 years ago,qwen\qwen.csv,0.35546875,False
granite4:350m-h-q8_0,366MB,1M,Text,7145075ed3d6,10 months ago,ibm\granite4.csv,0.357421875,False
granite4:350m-h-base-q8_0,366MB,1M,Text,fc639b9e4edb,10 months ago,ibm\granite4.csv,0.357421875,False
qwen2.5:0.5b-instruct-q3_K_L,369MB,32K,Text,2ea07e2fd539,1 year ago,qwen\qwen2.5.csv,0.3603515625,False
qwen2.5:0.5b-base-q3_K_L,369MB,32K,Text,59bf60d67517,1 year ago,qwen\qwen2.5.csv,0.3603515625,False
qwen2.5:0.5b-base-q4_1,375MB,32K,Text,50cc344abeb2,1 year ago,qwen\qwen2.5.csv,0.3662109375,False
qwen2.5:0.5b-instruct-q4_1,375MB,32K,Text,61378941e31f,1 year ago,qwen\qwen2.5.csv,0.3662109375,False
granite4:350m-base-q8_0,378MB,32K,Text,c2242b8fc00c,10 months ago,ibm\granite4.csv,0.369140625,False
granite4:350m-q8_0,378MB,32K,Text,ab70622bfd6d,10 months ago,ibm\granite4.csv,0.369140625,False
qwen2.5:0.5b-instruct-q4_K_S,385MB,32K,Text,6f4611e3bd35,1 year ago,qwen\qwen2.5.csv,0.3759765625,False
qwen2.5:0.5b-base-q4_K_S,385MB,32K,Text,75db83387279,1 year ago,qwen\qwen2.5.csv,0.3759765625,False
qwen:0.5b-chat-v1.5-q4_0,395MB,32K,Text,b5dc5e784f2a,2 years ago,qwen\qwen.csv,0.3857421875,False
qwen:0.5b-text-v1.5-q4_0,395MB,32K,Text,f92ac32068ca,2 years ago,qwen\qwen.csv,0.3857421875,False
qwen:0.5b-chat,395MB,32K,Text,b5dc5e784f2a,2 years ago,qwen\qwen.csv,0.3857421875,False
qwen:0.5b-text,395MB,32K,Text,f92ac32068ca,2 years ago,qwen\qwen.csv,0.3857421875,False
qwen:0.5b-chat-v1.5-q4_K_S,397MB,32K,Text,5d85925638c3,2 years ago,qwen\qwen.csv,0.3876953125,False
qwen2.5:0.5b-base-q5_0,397MB,32K,Text,a30fbb649ad5,1 year ago,qwen\qwen2.5.csv,0.3876953125,False
qwen:0.5b-text-v1.5-q4_K_S,397MB,32K,Text,b0702a4235ed,2 years ago,qwen\qwen.csv,0.3876953125,False
qwen2.5:0.5b-instruct-q5_0,397MB,32K,Text,4a8f6fc82b6e,1 year ago,qwen\qwen2.5.csv,0.3876953125,False
qwen2.5:0.5b-instruct,398MB,32K,Text,a8b0c5157701,1 year ago,qwen\qwen2.5.csv,0.388671875,False
qwen2.5:0.5b-base-q4_K_M,398MB,32K,Text,24c564a74dea,1 year ago,qwen\qwen2.5.csv,0.388671875,False
qwen2.5:0.5b-instruct-q4_K_M,398MB,32K,Text,a8b0c5157701,1 year ago,qwen\qwen2.5.csv,0.388671875,False
qwen2.5:0.5b-base,398MB,32K,Text,24c564a74dea,1 year ago,qwen\qwen2.5.csv,0.388671875,False
qwen2.5:0.5b,398MB,32K,Text,a8b0c5157701,1 year ago,qwen\qwen2.5.csv,0.388671875,False
qwen:0.5b-chat-v1.5-q4_K_M,407MB,32K,Text,e1c9c6192a7e,2 years ago,qwen\qwen.csv,0.3974609375,False
qwen:0.5b-text-v1.5-q4_K_M,407MB,32K,Text,d8d0c86b10cd,2 years ago,qwen\qwen.csv,0.3974609375,False
qwen2.5:0.5b-base-q5_K_S,413MB,32K,Text,2484afe4f04e,1 year ago,qwen\qwen2.5.csv,0.4033203125,False
qwen2.5:0.5b-instruct-q5_K_S,413MB,32K,Text,5830fc2c0193,1 year ago,qwen\qwen2.5.csv,0.4033203125,False
qwen2.5:0.5b-base-q5_1,419MB,32K,Text,c3e31c5b32da,1 year ago,qwen\qwen2.5.csv,0.4091796875,False
qwen2.5:0.5b-instruct-q5_1,419MB,32K,Text,95b03700b65c,1 year ago,qwen\qwen2.5.csv,0.4091796875,False
qwen2.5:0.5b-instruct-q5_K_M,420MB,32K,Text,0762ec590a8c,1 year ago,qwen\qwen2.5.csv,0.41015625,False
qwen:0.5b-chat-v1.5-q4_1,424MB,32K,Text,1bf15c40f38e,2 years ago,qwen\qwen.csv,0.4140625,False
qwen:0.5b-text-v1.5-q4_1,424MB,32K,Text,8634f265be16,2 years ago,qwen\qwen.csv,0.4140625,False
qwen:0.5b-text-v1.5-q5_0,453MB,32K,Text,3822065b797a,2 years ago,qwen\qwen.csv,0.4423828125,False
qwen:0.5b-text-v1.5-q5_K_S,453MB,32K,Text,4ea8ddc7c860,2 years ago,qwen\qwen.csv,0.4423828125,False
qwen:0.5b-chat-v1.5-q5_K_S,453MB,32K,Text,1cf5f7bb58c9,2 years ago,qwen\qwen.csv,0.4423828125,False
