Name,Size / Usage,Context,Input,Digest,Updated
granite3.3:2b,1.5GB,128K,Text,b7b711f14c01,1 year ago
granite3.3:8b,4.9GB,128K,Text,840c9066413c,1 year ago
granite3.3:2b-base,1.5GB,128K,Text,855440fe8358,1 year ago
granite3.3:2b-base-q2_K,978MB,128K,Text,87bb55e269d4,1 year ago
granite3.3:2b-base-q3_K_S,1.1GB,128K,Text,f3aa60c085d1,1 year ago
granite3.3:2b-base-q3_K_M,1.3GB,128K,Text,8a89d4f16e80,1 year ago
granite3.3:2b-base-q3_K_L,1.4GB,128K,Text,3c98db82ae02,1 year ago
granite3.3:2b-base-q4_0,1.5GB,128K,Text,1a9c2dfe96b3,1 year ago
granite3.3:2b-base-q4_1,1.6GB,128K,Text,7acabcae2f43,1 year ago
granite3.3:2b-base-q4_K_S,1.5GB,128K,Text,2223d6d39c2d,1 year ago
granite3.3:2b-base-q4_K_M,1.5GB,128K,Text,8af557b664af,1 year ago
granite3.3:2b-base-q5_0,1.8GB,128K,Text,1d8696cb3c9d,1 year ago
granite3.3:2b-base-q5_1,1.9GB,128K,Text,d97fdc536fdc,1 year ago
granite3.3:2b-base-q5_K_S,1.8GB,128K,Text,40e5ee71c60c,1 year ago
granite3.3:2b-base-q5_K_M,1.8GB,128K,Text,db2d4f1d04c8,1 year ago
granite3.3:2b-base-q6_K,2.1GB,128K,Text,b7e6b87bd6af,1 year ago
granite3.3:2b-base-q8_0,2.7GB,128K,Text,0e6d4e7fe611,1 year ago
granite3.3:2b-base-f16,5.1GB,128K,Text,8ad281da8dd2,1 year ago
granite3.3:2b-instruct-q2_K,978MB,128K,Text,0f179758a23c,1 year ago
granite3.3:2b-instruct-q3_K_S,1.1GB,128K,Text,e14331e9f31c,1 year ago
granite3.3:2b-instruct-q3_K_M,1.3GB,128K,Text,34a621e9099f,1 year ago
granite3.3:2b-instruct-q3_K_L,1.4GB,128K,Text,e4695d7ed6a6,1 year ago
granite3.3:2b-instruct-q4_0,1.5GB,128K,Text,3346774d0a60,1 year ago
granite3.3:2b-instruct-q4_1,1.6GB,128K,Text,76592eda4695,1 year ago
granite3.3:2b-instruct-q4_K_S,1.5GB,128K,Text,336476674e52,1 year ago
granite3.3:2b-instruct-q4_K_M,1.5GB,128K,Text,b7b711f14c01,1 year ago
granite3.3:2b-instruct-q5_0,1.8GB,128K,Text,0b200242af09,1 year ago
granite3.3:2b-instruct-q5_1,1.9GB,128K,Text,1cc05fa53e95,1 year ago
granite3.3:2b-instruct-q5_K_S,1.8GB,128K,Text,7129de5deb0d,1 year ago
granite3.3:2b-instruct-q5_K_M,1.8GB,128K,Text,123cb9d5e275,1 year ago
granite3.3:2b-instruct-q6_K,2.1GB,128K,Text,9ee1132c27b7,1 year ago
granite3.3:2b-instruct-q8_0,2.7GB,128K,Text,cc5b7c6e75ed,1 year ago
granite3.3:2b-instruct-f16,5.1GB,128K,Text,83931073e157,1 year ago
granite3.3:8b-base,4.9GB,128K,Text,7686cd1189f9,1 year ago
granite3.3:8b-base-q2_K,3.1GB,128K,Text,234666d53ea7,1 year ago
granite3.3:8b-base-q3_K_S,3.6GB,128K,Text,104cf4306765,1 year ago
granite3.3:8b-base-q3_K_M,4.0GB,128K,Text,733ffcb40049,1 year ago
granite3.3:8b-base-q3_K_L,4.3GB,128K,Text,7ba316d22b0b,1 year ago
granite3.3:8b-base-q4_0,4.7GB,128K,Text,e9d7f84dc6d8,1 year ago
granite3.3:8b-base-q4_1,5.1GB,128K,Text,6f1a5ae058eb,1 year ago
granite3.3:8b-base-q4_K_S,4.7GB,128K,Text,89abbed3f1cb,1 year ago
granite3.3:8b-base-q4_K_M,4.9GB,128K,Text,da87502f532b,1 year ago
granite3.3:8b-base-q5_0,5.6GB,128K,Text,5bf89764965e,1 year ago
granite3.3:8b-base-q5_1,6.1GB,128K,Text,41cd3f25462d,1 year ago
granite3.3:8b-base-q5_K_S,5.6GB,128K,Text,b872842e153d,1 year ago
granite3.3:8b-base-q5_K_M,5.8GB,128K,Text,7f52cb9e34c1,1 year ago
granite3.3:8b-base-q6_K,6.7GB,128K,Text,58aacfeb3db1,1 year ago
granite3.3:8b-base-q8_0,8.7GB,128K,Text,eb9a87ca0d61,1 year ago
granite3.3:8b-base-f16,16GB,128K,Text,620af1bee0e8,1 year ago
granite3.3:8b-instruct-q2_K,3.1GB,128K,Text,bbfc4f1bd2d5,1 year ago
granite3.3:8b-instruct-q3_K_S,3.6GB,128K,Text,7fa41a3f9143,1 year ago
granite3.3:8b-instruct-q3_K_M,4.0GB,128K,Text,c5980626641c,1 year ago
granite3.3:8b-instruct-q3_K_L,4.3GB,128K,Text,e03fac74858b,1 year ago
granite3.3:8b-instruct-q4_0,4.7GB,128K,Text,00b60d797185,1 year ago
granite3.3:8b-instruct-q4_1,5.1GB,128K,Text,36c0886b6971,1 year ago
granite3.3:8b-instruct-q4_K_S,4.7GB,128K,Text,a148a74a9d83,1 year ago
granite3.3:8b-instruct-q4_K_M,4.9GB,128K,Text,840c9066413c,1 year ago
granite3.3:8b-instruct-q5_0,5.6GB,128K,Text,8164fbcc33c1,1 year ago
granite3.3:8b-instruct-q5_1,6.1GB,128K,Text,b37daddecf33,1 year ago
granite3.3:8b-instruct-q5_K_S,5.6GB,128K,Text,e0be1baa8524,1 year ago
granite3.3:8b-instruct-q5_K_M,5.8GB,128K,Text,fb44f6015dcb,1 year ago
granite3.3:8b-instruct-q6_K,6.7GB,128K,Text,e37176017e4f,1 year ago
granite3.3:8b-instruct-q8_0,8.7GB,128K,Text,f8d0e1f4ac48,1 year ago
granite3.3:8b-instruct-f16,16GB,128K,Text,398aee68c0f2,1 year ago
