Name,Size / Usage,Context,Input,Digest,Updated
granite4.1-guardian:8b,6.9GB,128K,Text,f82c0882cec1,2 months ago
granite4.1-guardian:8b-q2_K,3.3GB,128K,Text,2c6ebdbc4c96,2 months ago
granite4.1-guardian:8b-q3_K_S,3.8GB,128K,Text,474fe767d1ed,2 months ago
granite4.1-guardian:8b-q3_K_M,4.2GB,128K,Text,4b56e240be8d,2 months ago
granite4.1-guardian:8b-q3_K_L,4.5GB,128K,Text,364832eedf35,2 months ago
granite4.1-guardian:8b-q4_0,4.8GB,128K,Text,a10286f69b99,2 months ago
granite4.1-guardian:8b-q4_1,5.3GB,128K,Text,1be4061519d1,2 months ago
granite4.1-guardian:8b-q4_K_S,4.9GB,128K,Text,a8736da3fe78,2 months ago
granite4.1-guardian:8b-q4_K_M,5.1GB,128K,Text,c84f3ddf98bb,2 months ago
granite4.1-guardian:8b-q5_0,5.8GB,128K,Text,0c7c74ffa2b8,2 months ago
granite4.1-guardian:8b-q5_1,6.3GB,128K,Text,083543c1944b,2 months ago
granite4.1-guardian:8b-q5_K_S,5.8GB,128K,Text,eabbd076be52,2 months ago
granite4.1-guardian:8b-q5_K_M,6.0GB,128K,Text,b06b03b262f4,2 months ago
granite4.1-guardian:8b-q6_K,6.9GB,128K,Text,f82c0882cec1,2 months ago
granite4.1-guardian:8b-q8_0,8.9GB,128K,Text,3697077f3aa1,2 months ago
granite4.1-guardian:8b-bf16,17GB,128K,Text,554b81f96395,2 months ago
