Name,Size / Usage,Context,Input,Digest,Updated
granite4:1b-base-q5_K_S,1.2GB,128K,Text,dee359a7888b,10 months ago
granite4:1b-base-q5_K_M,1.2GB,128K,Text,8b421f6fb5d3,10 months ago
granite4:1b-base-q6_K,1.3GB,128K,Text,506968fbbf51,10 months ago
granite4:1b-base-q8_0,1.7GB,128K,Text,903d9d7a0c17,10 months ago
granite4:1b-base-f16,3.3GB,128K,Text,5f735e6bf0de,10 months ago
granite4:1b-base-bf16,3.3GB,128K,Text,84ebb272fa5a,10 months ago
granite4:1b-h,1.6GB,1M,Text,7761ae79cab9,10 months ago
granite4:1b-h-base-q2_K,589MB,1M,Text,85298a97e1a8,10 months ago
granite4:1b-h-q2_K,589MB,1M,Text,10881bb567b9,10 months ago
granite4:1b-h-base-q3_K_S,695MB,1M,Text,04d1bd28c0d1,10 months ago
granite4:1b-h-q3_K_S,695MB,1M,Text,f691cbdffe22,10 months ago
granite4:1b-h-base-q3_K_M,732MB,1M,Text,9a94d8a83cda,10 months ago
granite4:1b-h-q3_K_M,732MB,1M,Text,45a24969d797,10 months ago
granite4:1b-h-base-q3_K_L,763MB,1M,Text,9de46b2c53ea,10 months ago
granite4:1b-h-q3_K_L,763MB,1M,Text,9996a7ac4deb,10 months ago
granite4:1b-h-base-q4_0,868MB,1M,Text,5e5794340010,10 months ago
granite4:1b-h-q4_0,868MB,1M,Text,02302f39df66,10 months ago
granite4:1b-h-base-q4_1,950MB,1M,Text,548994e31191,10 months ago
granite4:1b-h-q4_1,950MB,1M,Text,8eb7be51e860,10 months ago
granite4:1b-h-base-q4_K_S,873MB,1M,Text,cb390dcab69a,10 months ago
granite4:1b-h-q4_K_S,873MB,1M,Text,24456b5fd2da,10 months ago
granite4:1b-h-base-q4_K_M,901MB,1M,Text,1b08c9e641aa,10 months ago
granite4:1b-h-q4_K_M,901MB,1M,Text,0edb9a6ca284,10 months ago
granite4:1b-h-base-q5_0,1.0GB,1M,Text,3d9d4e2c0945,10 months ago
granite4:1b-h-q5_0,1.0GB,1M,Text,4f1206d96a08,10 months ago
granite4:1b-h-base-q5_1,1.1GB,1M,Text,c689da56298f,10 months ago
granite4:1b-h-q5_1,1.1GB,1M,Text,adbc7ffd477c,10 months ago
granite4:1b-h-base-q5_K_S,1.0GB,1M,Text,d678bd8ddc91,10 months ago
granite4:1b-h-q5_K_S,1.0GB,1M,Text,8154dcc811d0,10 months ago
granite4:1b-h-base-q5_K_M,1.0GB,1M,Text,9e3e981b1b33,10 months ago
granite4:1b-h-q5_K_M,1.0GB,1M,Text,2e60bc7b0025,10 months ago
granite4:1b-h-base-q6_K,1.2GB,1M,Text,25f67dce907b,10 months ago
granite4:1b-h-q6_K,1.2GB,1M,Text,47d126dc2b8e,10 months ago
granite4:1b-h-base-q8_0,1.6GB,1M,Text,4c11ecc40d05,10 months ago
granite4:1b-h-q8_0,1.6GB,1M,Text,7761ae79cab9,10 months ago
granite4:1b-h-base-f16,2.9GB,1M,Text,bc30f999ea0f,10 months ago
granite4:1b-h-f16,2.9GB,1M,Text,6225a45edb4b,10 months ago
granite4:1b-h-base-bf16,2.9GB,1M,Text,9c5a47645a5a,10 months ago
granite4:1b-h-bf16,2.9GB,1M,Text,1245a435071f,10 months ago
granite4:1b-q2_K,702MB,128K,Text,fa4051ba3820,10 months ago
granite4:1b-q3_K_S,786MB,128K,Text,ac1ed87332d8,10 months ago
granite4:1b-q3_K_M,860MB,128K,Text,ceb1c75e26f1,10 months ago
granite4:1b-q3_K_L,926MB,128K,Text,43668b72fe11,10 months ago
granite4:1b-q4_0,975MB,128K,Text,872caea5aeed,10 months ago
granite4:1b-q4_1,1.1GB,128K,Text,db76cdf9bdfd,10 months ago
granite4:1b-q4_K_S,981MB,128K,Text,41096a47db73,10 months ago
granite4:1b-q4_K_M,1.0GB,128K,Text,2ab52bcf7214,10 months ago
granite4:1b-q5_0,1.2GB,128K,Text,359eb5246771,10 months ago
granite4:1b-q5_1,1.2GB,128K,Text,a941848b3f4b,10 months ago
granite4:1b-q5_K_S,1.2GB,128K,Text,eac37d5e201d,10 months ago
granite4:1b-q5_K_M,1.2GB,128K,Text,04919a96d1c0,10 months ago
granite4:1b-q6_K,1.3GB,128K,Text,d613923cdcae,10 months ago
granite4:1b-q8_0,1.7GB,128K,Text,cbde93658fc5,10 months ago
granite4:1b-f16,3.3GB,128K,Text,c204e5c2b586,10 months ago
granite4:1b-bf16,3.3GB,128K,Text,26e4cb132798,10 months ago
granite4:3b-h,1.9GB,1M,Text,076afb3855dc,10 months ago
granite4:7b-a1b-h,4.2GB,1M,Text,566b725534ea,10 months ago
granite4:32b-a9b-h,19GB,1M,Text,2f8a7367d441,10 months ago
granite4:micro-base-q2_K,1.4GB,128K,Text,aabf3f4482b6,11 months ago
granite4:micro-q2_K,1.4GB,128K,Text,e334ebe56cfe,11 months ago
granite4:micro-base-q3_K_S,1.6GB,128K,Text,3205e26f39fc,11 months ago
granite4:micro-q3_K_S,1.6GB,128K,Text,5f1165d4a7bc,11 months ago
granite4:micro-base-q3_K_M,1.7GB,128K,Text,478fd9c2c463,11 months ago
granite4:micro-q3_K_M,1.7GB,128K,Text,d0626413a629,11 months ago
granite4:micro-base-q3_K_L,1.9GB,128K,Text,fee0a53232cd,11 months ago
granite4:micro-q3_K_L,1.9GB,128K,Text,d72bd87fb725,11 months ago
granite4:micro-base-q4_0,2.0GB,128K,Text,98d9c22e865a,11 months ago
granite4:micro-q4_0,2.0GB,128K,Text,4ecf35fdfe65,11 months ago
granite4:micro-base-q4_1,2.2GB,128K,Text,574f1deabae1,11 months ago
granite4:micro-q4_1,2.2GB,128K,Text,f1750ae5b358,11 months ago
granite4:micro-base-q4_K_S,2.0GB,128K,Text,951699524644,11 months ago
granite4:micro-q4_K_S,2.0GB,128K,Text,f345703933d0,11 months ago
granite4:micro-base-q4_K_M,2.1GB,128K,Text,7965ef1fc4e2,11 months ago
granite4:micro-h,1.9GB,1M,Text,076afb3855dc,11 months ago
granite4:micro-h-base-q2_K,1.2GB,1M,Text,113c594e03e4,11 months ago
granite4:micro-h-q2_K,1.2GB,1M,Text,e0b4698bef6f,11 months ago
granite4:micro-h-base-q3_K_S,1.5GB,1M,Text,8ef6c45ca095,11 months ago
granite4:micro-h-q3_K_S,1.5GB,1M,Text,3dbcbe3a2893,11 months ago
granite4:micro-h-base-q3_K_M,1.6GB,1M,Text,0006c65f1fe4,11 months ago
granite4:micro-h-q3_K_M,1.6GB,1M,Text,eae373516bff,11 months ago
granite4:micro-h-base-q3_K_L,1.6GB,1M,Text,ee8a7e105f0f,11 months ago
granite4:micro-h-q3_K_L,1.6GB,1M,Text,75ced4412134,11 months ago
granite4:micro-h-base-q4_0,1.9GB,1M,Text,8b18e2fdd412,11 months ago
granite4:micro-h-q4_0,1.9GB,1M,Text,8ae6bdefeff0,11 months ago
granite4:micro-h-base-q4_1,2.0GB,1M,Text,0a0c09b2365e,11 months ago
granite4:micro-h-q4_1,2.0GB,1M,Text,00e60a382b5d,11 months ago
granite4:micro-h-base-q4_K_S,1.9GB,1M,Text,5ad525058a75,11 months ago
granite4:micro-h-q4_K_S,1.9GB,1M,Text,3124a420a568,11 months ago
granite4:micro-h-base-q4_K_M,1.9GB,1M,Text,727d887e8421,11 months ago
granite4:micro-h-q4_K_M,1.9GB,1M,Text,076afb3855dc,11 months ago
granite4:micro-q4_K_M,2.1GB,128K,Text,89962fcc7523,11 months ago
granite4:micro-base-q5_0,2.4GB,128K,Text,77ae9a627a2f,11 months ago
granite4:micro-q5_0,2.4GB,128K,Text,61c605db92ef,11 months ago
granite4:micro-base-q5_1,2.6GB,128K,Text,c37535d2f5ae,11 months ago
granite4:micro-q5_1,2.6GB,128K,Text,356aac2d1775,11 months ago
granite4:micro-base-q5_K_S,2.4GB,128K,Text,4a469e1f8bf4,11 months ago
granite4:micro-q5_K_S,2.4GB,128K,Text,5b1091af68df,11 months ago
granite4:micro-base-q5_K_M,2.4GB,128K,Text,bf4bb9814f9d,11 months ago
granite4:micro-q5_K_M,2.4GB,128K,Text,0a36f5740acb,11 months ago
granite4:micro-base-q6_K,2.8GB,128K,Text,32dfc144c3a3,11 months ago
granite4:micro-q6_K,2.8GB,128K,Text,f718ff166e01,11 months ago
granite4:micro-base-q8_0,3.6GB,128K,Text,89f9ce3ccd39,11 months ago
granite4:micro-q8_0,3.6GB,128K,Text,0388d242cf01,11 months ago
granite4:micro-base-f16,6.8GB,128K,Text,f579a1cd85db,11 months ago
granite4:micro-h-base-q5_0,2.2GB,1M,Text,fa4bdab3c2fa,11 months ago
granite4:micro-h-q5_0,2.2GB,1M,Text,b1d21507c2fa,11 months ago
granite4:micro-h-base-q5_1,2.4GB,1M,Text,feb02318a9ff,11 months ago
granite4:micro-h-q5_1,2.4GB,1M,Text,c50bdece1275,11 months ago
granite4:micro-h-base-q5_K_S,2.2GB,1M,Text,28d7355f2a2e,11 months ago
granite4:micro-h-q5_K_S,2.2GB,1M,Text,e57f8e91e1f3,11 months ago
granite4:micro-h-base-q5_K_M,2.3GB,1M,Text,77061c83832e,11 months ago
granite4:micro-h-q5_K_M,2.3GB,1M,Text,836b214e86a2,11 months ago
granite4:micro-h-base-q6_K,2.6GB,1M,Text,35c21a40474e,11 months ago
granite4:micro-h-q6_K,2.6GB,1M,Text,04d7088a69df,11 months ago
granite4:micro-h-base-q8_0,3.4GB,1M,Text,301d47de605c,11 months ago
granite4:micro-h-q8_0,3.4GB,1M,Text,2f534173f269,11 months ago
granite4:micro-f16,6.8GB,128K,Text,7e480cdc084b,11 months ago
granite4:micro-h-base-f16,6.4GB,1M,Text,c7176571c526,11 months ago
granite4:micro-h-f16,6.4GB,1M,Text,97c4da93d2b3,11 months ago
granite4:small-h,19GB,1M,Text,2f8a7367d441,11 months ago
granite4:small-h-base-q2_K,12GB,1M,Text,d6212aee2d2d,11 months ago
granite4:small-h-q2_K,12GB,1M,Text,1558b2e45448,11 months ago
granite4:small-h-base-q3_K_S,14GB,1M,Text,f7fa3743cd62,11 months ago
granite4:small-h-q3_K_S,14GB,1M,Text,f428aca05795,11 months ago
granite4:small-h-base-q3_K_M,15GB,1M,Text,8dbfffc2b5ac,11 months ago
granite4:small-h-q3_K_M,15GB,1M,Text,a0b78ad5e5dd,11 months ago
granite4:small-h-base-q3_K_L,16GB,1M,Text,9eb3a8a2ae60,11 months ago
granite4:small-h-q3_K_L,16GB,1M,Text,11708b1fdf68,11 months ago
granite4:small-h-base-q4_0,18GB,1M,Text,7e5374dd4904,11 months ago
granite4:small-h-q4_0,18GB,1M,Text,62756ecfce65,11 months ago
granite4:small-h-base-q4_1,20GB,1M,Text,f3335dce203f,11 months ago
granite4:small-h-q4_1,20GB,1M,Text,28a5cfc16675,11 months ago
granite4:small-h-base-q4_K_S,18GB,1M,Text,040ef08c1728,11 months ago
granite4:small-h-q4_K_S,18GB,1M,Text,3770436246eb,11 months ago
granite4:small-h-base-q4_K_M,19GB,1M,Text,895f7a9fe3fd,11 months ago
granite4:small-h-q4_K_M,19GB,1M,Text,2f8a7367d441,11 months ago
granite4:small-h-base-q5_0,22GB,1M,Text,387f639ef56b,11 months ago
granite4:small-h-q5_0,22GB,1M,Text,6156f8ea5aa0,11 months ago
granite4:small-h-base-q5_1,24GB,1M,Text,3b0094a43198,11 months ago
granite4:small-h-q5_1,24GB,1M,Text,d69fbb69df12,11 months ago
granite4:small-h-base-q5_K_S,22GB,1M,Text,fb01c50cb74d,11 months ago
granite4:small-h-q5_K_S,22GB,1M,Text,0505c387f882,11 months ago
granite4:small-h-base-q5_K_M,23GB,1M,Text,7f6706d40bda,11 months ago
granite4:small-h-q5_K_M,23GB,1M,Text,16ad5fe6694f,11 months ago
granite4:small-h-base-q6_K,26GB,1M,Text,5ae879f1d200,11 months ago
granite4:small-h-q6_K,26GB,1M,Text,ed28ded5553c,11 months ago
granite4:small-h-base-q8_0,34GB,1M,Text,cc64cc10f132,11 months ago
granite4:small-h-q8_0,34GB,1M,Text,e66e5f11bf5f,11 months ago
granite4:small-h-base-f16,64GB,1M,Text,58a4cfe779b1,11 months ago
granite4:small-h-f16,64GB,1M,Text,e0a7c80f5bbe,11 months ago
granite4:tiny-h,4.2GB,1M,Text,566b725534ea,11 months ago
granite4:tiny-h-base-q2_K,2.6GB,1M,Text,bca9c4906a09,11 months ago
granite4:tiny-h-q2_K,2.6GB,1M,Text,1562bb60f63b,11 months ago
granite4:tiny-h-base-q3_K_S,3.1GB,1M,Text,a7c0c24bd5ff,11 months ago
granite4:tiny-h-q3_K_S,3.1GB,1M,Text,d7b45217a61a,11 months ago
granite4:tiny-h-base-q3_K_M,3.4GB,1M,Text,51114ec71fe6,11 months ago
granite4:tiny-h-q3_K_M,3.4GB,1M,Text,b9b00743a3c5,11 months ago
granite4:tiny-h-base-q3_K_L,3.6GB,1M,Text,3ab280073cf4,11 months ago
granite4:tiny-h-q3_K_L,3.6GB,1M,Text,a84c80cc44ff,11 months ago
granite4:tiny-h-base-q4_0,4.0GB,1M,Text,3f3c7e152bfe,11 months ago
granite4:tiny-h-q4_0,4.0GB,1M,Text,cba6eb07fb96,11 months ago
granite4:tiny-h-base-q4_1,4.4GB,1M,Text,0787685175ac,11 months ago
granite4:tiny-h-q4_1,4.4GB,1M,Text,672cf5e6bb8a,11 months ago
granite4:tiny-h-base-q4_K_S,4.0GB,1M,Text,860a19f4c87b,11 months ago
granite4:tiny-h-q4_K_S,4.0GB,1M,Text,085f5e0895c9,11 months ago
granite4:tiny-h-base-q4_K_M,4.2GB,1M,Text,e6ad422b0f47,11 months ago
granite4:tiny-h-q4_K_M,4.2GB,1M,Text,566b725534ea,11 months ago
granite4:tiny-h-base-q5_0,4.8GB,1M,Text,ce648d39a07b,11 months ago
granite4:tiny-h-q5_0,4.8GB,1M,Text,308342303824,11 months ago
granite4:tiny-h-base-q5_1,5.2GB,1M,Text,c8a2ae21fead,11 months ago
granite4:tiny-h-q5_1,5.2GB,1M,Text,cb72bcbb3207,11 months ago
granite4:tiny-h-base-q5_K_S,4.8GB,1M,Text,123bd7a81e3c,11 months ago
granite4:tiny-h-q5_K_S,4.8GB,1M,Text,6b3166523d78,11 months ago
granite4:tiny-h-base-q5_K_M,4.9GB,1M,Text,4b1099cd8e60,11 months ago
granite4:tiny-h-q5_K_M,4.9GB,1M,Text,6e95eab3f770,11 months ago
granite4:tiny-h-base-q6_K,5.7GB,1M,Text,d1c67590e90b,11 months ago
granite4:tiny-h-q6_K,5.7GB,1M,Text,709a03f6c6e6,11 months ago
granite4:tiny-h-base-q8_0,7.4GB,1M,Text,6dfba0908e12,11 months ago
granite4:tiny-h-q8_0,7.4GB,1M,Text,ec6fe932050f,11 months ago
granite4:tiny-h-base-f16,14GB,1M,Text,a5adccc06143,11 months ago
granite4:tiny-h-f16,14GB,1M,Text,f9f934202f9d,11 months ago
