Name,Size / Usage,Context,Input,Digest,Updated
llama2:latest,3.8GB,4K,Text,78e26419b446,2 years ago
llama2:chat,3.8GB,4K,Text,78e26419b446,2 years ago
llama2:text,3.8GB,4K,Text,53b394a404fd,2 years ago
llama2:7b,3.8GB,4K,Text,78e26419b446,2 years ago
llama2:13b,7.4GB,4K,Text,d475bf4c50bc,2 years ago
llama2:70b,39GB,4K,Text,e7f6c06ffef4,2 years ago
llama2:7b-chat,3.8GB,4K,Text,78e26419b446,2 years ago
llama2:7b-chat-q2_K,2.8GB,4K,Text,56baf05e3e67,2 years ago
llama2:7b-chat-q3_K_S,2.9GB,4K,Text,3af967e4a825,2 years ago
llama2:7b-chat-q3_K_M,3.3GB,4K,Text,63ebc93e095e,2 years ago
llama2:7b-chat-q3_K_L,3.6GB,4K,Text,c04042faafd0,2 years ago
llama2:7b-chat-q4_0,3.8GB,4K,Text,78e26419b446,2 years ago
llama2:7b-chat-q4_1,4.2GB,4K,Text,85eb4bc10598,2 years ago
llama2:7b-chat-q4_K_S,3.9GB,4K,Text,bec61ac554e8,2 years ago
llama2:7b-chat-q4_K_M,4.1GB,4K,Text,fe3834f64df5,2 years ago
llama2:7b-chat-q5_0,4.7GB,4K,Text,68cf22a36a37,2 years ago
llama2:7b-chat-q5_1,5.1GB,4K,Text,ae646aad1ac9,2 years ago
llama2:7b-chat-q5_K_S,4.7GB,4K,Text,4f771b179264,2 years ago
llama2:7b-chat-q5_K_M,4.8GB,4K,Text,5918a2e3bb37,2 years ago
llama2:7b-chat-q6_K,5.5GB,4K,Text,7eabddae7b75,2 years ago
llama2:7b-chat-q8_0,7.2GB,4K,Text,fc35dd6c8370,2 years ago
llama2:7b-chat-fp16,13GB,4K,Text,50a12b7ddb9d,2 years ago
llama2:7b-text,3.8GB,4K,Text,53b394a404fd,2 years ago
llama2:7b-text-q2_K,2.8GB,4K,Text,c581571a4e90,2 years ago
llama2:7b-text-q3_K_S,2.9GB,4K,Text,2f3ee65fe92a,2 years ago
llama2:7b-text-q3_K_M,3.3GB,4K,Text,c1ddf19ff6db,2 years ago
llama2:7b-text-q3_K_L,3.6GB,4K,Text,df57d4d53dac,2 years ago
llama2:7b-text-q4_0,3.8GB,4K,Text,53b394a404fd,2 years ago
llama2:7b-text-q4_1,4.2GB,4K,Text,189a0d0904e4,2 years ago
llama2:7b-text-q4_K_S,3.9GB,4K,Text,1c2571d89f3b,2 years ago
llama2:7b-text-q4_K_M,4.1GB,4K,Text,b50304b988e8,2 years ago
llama2:7b-text-q5_0,4.7GB,4K,Text,7377932417e0,2 years ago
llama2:7b-text-q5_1,5.1GB,4K,Text,1a5e521c1e5c,2 years ago
llama2:7b-text-q5_K_S,4.7GB,4K,Text,6dd64259f527,2 years ago
llama2:7b-text-q5_K_M,4.8GB,4K,Text,eaa320e04479,2 years ago
llama2:7b-text-q6_K,5.5GB,4K,Text,7e54061a4751,2 years ago
llama2:7b-text-q8_0,7.2GB,4K,Text,fd701415200a,2 years ago
llama2:7b-text-fp16,13GB,4K,Text,f69718db483a,2 years ago
llama2:13b-chat,7.4GB,4K,Text,d475bf4c50bc,2 years ago
llama2:13b-chat-q2_K,5.4GB,4K,Text,14d3396d4e1b,2 years ago
llama2:13b-chat-q3_K_S,5.7GB,4K,Text,224005fe00d3,2 years ago
llama2:13b-chat-q3_K_M,6.3GB,4K,Text,7a39765cf206,2 years ago
llama2:13b-chat-q3_K_L,6.9GB,4K,Text,d0a4d669c0b5,2 years ago
llama2:13b-chat-q4_0,7.4GB,4K,Text,d475bf4c50bc,2 years ago
llama2:13b-chat-q4_1,8.2GB,4K,Text,8da45bab53a7,2 years ago
llama2:13b-chat-q4_K_S,7.4GB,4K,Text,c9bc1759c3b8,2 years ago
llama2:13b-chat-q4_K_M,7.9GB,4K,Text,87727269f62c,2 years ago
llama2:13b-chat-q5_0,9.0GB,4K,Text,2ceaa73b479a,2 years ago
llama2:13b-chat-q5_1,9.8GB,4K,Text,76c91147b201,2 years ago
llama2:13b-chat-q5_K_S,9.0GB,4K,Text,25324e6a6e04,2 years ago
llama2:13b-chat-q5_K_M,9.2GB,4K,Text,34471ad29e7c,2 years ago
llama2:13b-chat-q6_K,11GB,4K,Text,df2e3c78030b,2 years ago
llama2:13b-chat-q8_0,14GB,4K,Text,303a83449a06,2 years ago
llama2:13b-chat-fp16,26GB,4K,Text,83b0fe8fee34,2 years ago
llama2:13b-text,7.4GB,4K,Text,d9ecf5544188,2 years ago
llama2:13b-text-q2_K,5.4GB,4K,Text,64ace2ba0375,2 years ago
llama2:13b-text-q3_K_S,5.7GB,4K,Text,959925e1415d,2 years ago
llama2:13b-text-q3_K_M,6.3GB,4K,Text,ff280395c1b4,2 years ago
llama2:13b-text-q3_K_L,6.9GB,4K,Text,cc161efc495b,2 years ago
llama2:13b-text-q4_0,7.4GB,4K,Text,d9ecf5544188,2 years ago
llama2:13b-text-q4_1,8.2GB,4K,Text,ff9b7e23cab5,2 years ago
llama2:13b-text-q4_K_S,7.4GB,4K,Text,2fadc16207a6,2 years ago
llama2:13b-text-q4_K_M,7.9GB,4K,Text,74b8a493a98e,2 years ago
llama2:13b-text-q5_0,9.0GB,4K,Text,8f3886efc72d,2 years ago
llama2:13b-text-q5_1,9.8GB,4K,Text,2afbee63a3f1,2 years ago
llama2:13b-text-q5_K_S,9.0GB,4K,Text,1025495b5ee3,2 years ago
llama2:13b-text-q5_K_M,9.2GB,4K,Text,4be0a0bc5acb,2 years ago
llama2:13b-text-q6_K,11GB,4K,Text,376544bcd2db,2 years ago
llama2:13b-text-q8_0,14GB,4K,Text,604d6e23f647,2 years ago
llama2:13b-text-fp16,26GB,4K,Text,d19bbe682374,2 years ago
llama2:70b-chat,39GB,4K,Text,e7f6c06ffef4,2 years ago
llama2:70b-chat-q2_K,29GB,4K,Text,3cac2828f2b8,2 years ago
llama2:70b-chat-q3_K_S,30GB,4K,Text,051b27c23c3f,2 years ago
llama2:70b-chat-q3_K_M,33GB,4K,Text,f11f61dc9832,2 years ago
llama2:70b-chat-q3_K_L,36GB,4K,Text,e2275953b0b3,2 years ago
llama2:70b-chat-q4_0,39GB,4K,Text,e7f6c06ffef4,2 years ago
llama2:70b-chat-q4_1,43GB,4K,Text,8618469361ea,2 years ago
llama2:70b-chat-q4_K_S,39GB,4K,Text,e202e9dd13cc,2 years ago
llama2:70b-chat-q4_K_M,41GB,4K,Text,8f88029f07f8,2 years ago
llama2:70b-chat-q5_0,47GB,4K,Text,6cb5828911b8,2 years ago
llama2:70b-chat-q5_1,52GB,4K,Text,9d1fbb3c4074,2 years ago
llama2:70b-chat-q5_K_S,47GB,4K,Text,eb071689d8e5,2 years ago
llama2:70b-chat-q5_K_M,49GB,4K,Text,2e12d2211dd5,2 years ago
llama2:70b-chat-q6_K,57GB,4K,Text,b8bbc9a59804,2 years ago
llama2:70b-chat-q8_0,73GB,4K,Text,d91d0643f080,2 years ago
llama2:70b-chat-fp16,138GB,4K,Text,18d69cd1de10,2 years ago
llama2:70b-text,39GB,4K,Text,b9b52e6b61c5,2 years ago
llama2:70b-text-q2_K,29GB,4K,Text,b45d7449cc92,2 years ago
llama2:70b-text-q3_K_S,30GB,4K,Text,2227129bfc8a,2 years ago
llama2:70b-text-q3_K_M,33GB,4K,Text,fbd62f5dcf16,2 years ago
llama2:70b-text-q3_K_L,36GB,4K,Text,b5bdb4982992,2 years ago
llama2:70b-text-q4_0,39GB,4K,Text,b9b52e6b61c5,2 years ago
llama2:70b-text-q4_1,43GB,4K,Text,92c3da1574b4,2 years ago
llama2:70b-text-q4_K_S,39GB,4K,Text,1197a01c76e7,2 years ago
llama2:70b-text-q4_K_M,41GB,4K,Text,bc70b8e5b4e5,2 years ago
llama2:70b-text-q5_0,47GB,4K,Text,4ec9f6c43f82,2 years ago
llama2:70b-text-q5_1,52GB,4K,Text,9cafaca2d2fe,2 years ago
llama2:70b-text-q5_K_S,47GB,4K,Text,eab38b764b5b,2 years ago
