Name,Size / Usage,Context,Input,Digest,Updated
qwen3:latest,5.2GB,40K,Text,500a1f067a9f,1 year ago
qwen3:0.6b,523MB,40K,Text,7df6b6e09427,1 year ago
qwen3:1.7b,1.4GB,40K,Text,8f68893c685c,1 year ago
qwen3:4b,2.5GB,256K,Text,359d7dd4bcda,11 months ago
qwen3:8b,5.2GB,40K,Text,500a1f067a9f,1 year ago
qwen3:14b,9.3GB,40K,Text,bdbd181c33f2,1 year ago
qwen3:30b,19GB,256K,Text,ad815644918f,10 months ago
qwen3:32b,20GB,40K,Text,030ee887880f,1 year ago
qwen3:235b,142GB,256K,Text,754a872f1290,10 months ago
qwen3:0.6b-q4_K_M,523MB,40K,Text,7df6b6e09427,1 year ago
qwen3:0.6b-q8_0,832MB,40K,Text,f6358994266d,1 year ago
qwen3:0.6b-fp16,1.5GB,40K,Text,626c9556a80f,1 year ago
qwen3:1.7b-q4_K_M,1.4GB,40K,Text,8f68893c685c,1 year ago
qwen3:1.7b-q8_0,2.2GB,40K,Text,29b6a7a420a4,1 year ago
qwen3:1.7b-fp16,4.1GB,40K,Text,e9354f6174db,1 year ago
qwen3:4b-instruct,2.5GB,256K,Text,0edcdef34593,11 months ago
qwen3:4b-instruct-2507-q4_K_M,2.5GB,256K,Text,0edcdef34593,11 months ago
qwen3:4b-instruct-2507-q8_0,4.3GB,256K,Text,aa7252f68dda,11 months ago
qwen3:4b-instruct-2507-fp16,8.1GB,256K,Text,259cbeb0f33b,11 months ago
qwen3:4b-thinking,2.5GB,256K,Text,359d7dd4bcda,10 months ago
qwen3:4b-thinking-2507-q4_K_M,2.5GB,256K,Text,359d7dd4bcda,11 months ago
qwen3:4b-thinking-2507-q8_0,4.3GB,256K,Text,446474631042,11 months ago
qwen3:4b-thinking-2507-fp16,8.1GB,256K,Text,c0b9500a47bb,11 months ago
qwen3:4b-q4_K_M,2.6GB,40K,Text,2bfd38a7daaf,1 year ago
qwen3:4b-q8_0,4.4GB,40K,Text,6461746fd6b5,1 year ago
qwen3:4b-fp16,8.1GB,40K,Text,c2a4b6294479,1 year ago
qwen3:8b-q4_K_M,5.2GB,40K,Text,500a1f067a9f,1 year ago
qwen3:8b-q8_0,8.9GB,40K,Text,e56358ca25dd,1 year ago
qwen3:8b-fp16,16GB,40K,Text,0b358e6e9d8c,1 year ago
qwen3:14b-q4_K_M,9.3GB,40K,Text,bdbd181c33f2,1 year ago
qwen3:14b-q8_0,16GB,40K,Text,304bf7349c71,1 year ago
qwen3:14b-fp16,30GB,40K,Text,a5be4baba030,1 year ago
qwen3:30b-a3b,19GB,256K,Text,ad815644918f,10 months ago
qwen3:30b-a3b-instruct-2507-q4_K_M,19GB,256K,Text,19e422b02313,11 months ago
qwen3:30b-a3b-q4_K_M,19GB,40K,Text,0b28110b7a33,1 year ago
qwen3:30b-a3b-instruct-2507-q8_0,32GB,256K,Text,528dfe43328b,11 months ago
qwen3:30b-a3b-thinking-2507-q4_K_M,19GB,256K,Text,ad815644918f,11 months ago
qwen3:30b-a3b-q8_0,33GB,40K,Text,a43c3bd181ce,1 year ago
qwen3:30b-a3b-thinking-2507-q8_0,32GB,256K,Text,67e5f89a2a5d,11 months ago
qwen3:30b-a3b-fp16,61GB,40K,Text,a46ad892011c,1 year ago
qwen3:30b-a3b-instruct-2507-fp16,61GB,256K,Text,2ad425bc080c,11 months ago
qwen3:30b-a3b-thinking-2507-fp16,61GB,256K,Text,063924ed7f52,11 months ago
qwen3:30b-instruct,19GB,256K,Text,19e422b02313,11 months ago
qwen3:30b-thinking,19GB,256K,Text,ad815644918f,11 months ago
qwen3:32b-q4_K_M,20GB,40K,Text,030ee887880f,1 year ago
qwen3:32b-q8_0,35GB,40K,Text,a46beca077e5,1 year ago
qwen3:32b-fp16,66GB,40K,Text,00dc0cb60a08,1 year ago
qwen3:235b-a22b,142GB,256K,Text,754a872f1290,10 months ago
qwen3:235b-a22b-instruct-2507-q4_K_M,142GB,256K,Text,88c401cdc877,11 months ago
qwen3:235b-a22b-q4_K_M,142GB,40K,Text,cf5635fabe3c,1 year ago
qwen3:235b-a22b-instruct-2507-q8_0,250GB,256K,Text,714b4861493d,11 months ago
qwen3:235b-a22b-thinking-2507-q4_K_M,142GB,256K,Text,754a872f1290,11 months ago
qwen3:235b-a22b-q8_0,250GB,40K,Text,37e8cf5bfc74,1 year ago
qwen3:235b-a22b-thinking-2507-q8_0,250GB,256K,Text,c4d308613f81,11 months ago
qwen3:235b-a22b-fp16,470GB,40K,Text,4dc3ade61929,1 year ago
qwen3:235b-a22b-thinking-2507-fp16,470GB,256K,Text,6b430a7e3d29,11 months ago
qwen3:235b-instruct,142GB,256K,Text,88c401cdc877,11 months ago
qwen3:235b-thinking,142GB,256K,Text,754a872f1290,11 months ago
